store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
415,7,0,0,0,0,0,0.0
27,7,0,0,0,0,0,0.0
404,3,657,1,1,0,0,7107.7
683,2,862,1,0,0,0,6536.51
920,3,591,1,1,0,0,6133.612
758,4,569,1,0,0,0,4944.8535
563,1,321,1,1,0,0,3772.9468
930,6,1367,1,0,0,0,8927.376
756,4,0,0,1,a,0,0.0
49,2,546,1,1,0,0,7399.551
787,4,968,1,0,0,1,7889.7944
782,4,472,1,0,0,0,4257.559
897,7,0,0,0,0,0,0.0
933,1,965,1,0,0,0,7187.97
218,2,804,1,0,0,1,6504.3726
554,3,499,1,1,0,1,5444.1675
362,1,1337,1,1,0,1,12594.101
655,3,560,1,0,0,0,5038.81
785,3,461,1,0,0,1,4199.637
690,3,866,1,1,0,0,8396.465
1103,7,0,0,0,0,0,0.0
431,1,1367,1,1,0,0,12807.62
127,2,642,1,1,0,0,6969.114
579,5,0,0,1,b,1,0.0
248,6,1139,1,0,0,0,8876.437
962,6,0,0,0,0,0,0.0
224,2,515,1,1,0,1,6176.398
208,3,355,1,1,0,1,4165.64
401,1,1063,1,1,0,0,10970.993
503,7,0,0,0,0,0,0.0
221,4,562,1,1,0,0,5804.746
268,7,0,0,0,0,0,0.0
799,2,927,1,1,0,1,9417.674
260,6,894,1,0,0,0,7801.7197
1041,2,594,1,0,0,0,4718.2905
350,2,533,1,1,0,0,6376.3896
286,7,0,0,0,0,0,0.0
620,2,709,1,1,0,0,7562.808
521,1,484,1,1,0,0,5935.963
649,4,435,1,1,0,0,4740.7637
1059,2,1239,1,1,0,0,11016.636
486,6,373,1,0,0,0,3583.7065
252,4,642,1,0,0,0,6134.664
656,3,421,1,1,0,0,4735.1055
642,5,394,1,0,0,0,3810.149
655,5,761,1,1,0,0,7461.7505
992,3,627,1,0,0,0,5351.665
143,2,731,1,1,0,0,7739.3247
421,5,941,1,1,0,1,8321.008
246,4,1157,1,1,0,0,9836.8955
960,1,720,1,1,0,0,7677.659
313,5,697,1,0,0,0,6384.4683
291,6,534,1,0,0,0,5221.3037
924,6,333,1,0,0,0,2999.9163
337,2,430,1,1,0,1,5263.8975
1024,4,607,1,0,0,0,5169.2246
56,3,402,1,1,0,0,5081.275
507,3,532,1,0,0,0,4881.2007
970,5,406,1,0,0,0,3787.821
846,2,828,1,0,0,0,6529.4214
549,3,582,1,0,0,0,5051.765
1095,4,852,1,1,0,1,8178.7583
859,5,709,1,1,0,0,6942.82
914,2,1178,1,1,0,1,10539.001
888,2,634,1,0,0,0,5467.811
442,2,517,1,1,0,0,5936.057
34,6,905,1,0,0,0,8105.2207
199,4,581,1,0,0,0,5226.713
854,4,657,1,1,a,0,6434.57
611,2,485,1,1,0,0,5828.091
808,4,528,1,0,0,1,5118.3516
1105,4,410,1,0,0,0,4116.5444
866,5,445,1,0,0,0,4468.2837
222,6,367,1,0,0,0,3411.1855
476,2,753,1,1,0,0,7660.3325
800,1,494,1,0,0,0,4746.5557
330,1,408,1,0,0,0,3909.1885
507,3,648,1,1,0,0,6636.2266
98,7,0,0,0,0,0,0.0
